,precision,recall,f1-score,support
Heterotheca,0.7575757575757576,0.8333333333333334,0.7936507936507938,30.0
Outgroup,0.8076923076923077,0.7,0.75,30.0
Soil,0.7741935483870968,0.8,0.7868852459016393,30.0
accuracy,,,0.7777777777777778,90.0
macro avg,0.7798205378850541,0.7777777777777777,0.7768453465174777,90.0
weighted avg,0.7798205378850541,0.7777777777777778,0.7768453465174777,90.0
jaccard,0.6579,0.6,0.6486,
OvR_AUC,0.9233,0.9022,0.9539,
