,precision,recall,f1-score,support
Heterotheca,0.9824175824175824,0.9933333333333333,0.9878453038674033,450.0
Outgroup,0.9932584269662922,0.9822222222222222,0.9877094972067039,450.0
Soil,1.0,1.0,1.0,450.0
accuracy,,,0.9918518518518519,1350.0
macro avg,0.9918920031279582,0.9918518518518518,0.9918516003580358,1350.0
weighted avg,0.9918920031279581,0.9918518518518519,0.9918516003580357,1350.0
jaccard,0.976,0.9757,1.0,
OvR_AUC,0.999,0.999,1.0,
